id,trade_date,district,building_type,text_representation
RPQNMLSLJHOFFEA18CA,2019-01-07,士林區,套房(1房1廳1衛),"行政區：士林區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：6.99 年
建物坪數：10.51 坪
主建物坪數：5.14 坪
樓層：1 / 8
樓層比例：0.12
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPPOMLSLJHOFFEA18CA,2019-01-10,北投區,公寓(5樓含以下無電梯),"行政區：北投區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：37.68 年
建物坪數：37.76 坪
主建物坪數：31.98 坪
樓層：2 / 5
樓層比例：0.40
格局：4 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPROMLOLJHOFFFA18DA,2019-01-03,大安區,住宅大樓(11層含以上有電梯),"行政區：大安區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼骨鋼筋混凝土造
屋齡：2.45 年
建物坪數：55.06 坪
主建物坪數：27.40 坪
樓層：4 / 25
樓層比例：0.16
格局：4 房 1 廳 2 衛
車位：有
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPPNMLKMJHOFFAA96CA,2019-01-07,文山區,住宅大樓(11層含以上有電梯),"行政區：文山區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：見其他登記事項
屋齡：1.60 年
建物坪數：37.37 坪
主建物坪數：18.98 坪
樓層：6 / 18
樓層比例：0.33
格局：2 房 1 廳 1 衛
車位：有
車位面積：16.07
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPUOMLMKLHOFFCA97CA,2019-01-07,內湖區,公寓(5樓含以下無電梯),"行政區：內湖區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：37.02 年
建物坪數：27.96 坪
主建物坪數：23.49 坪
樓層：2 / 5
樓層比例：0.40
格局：3 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPWPMLNLJHOFFCA28CA,2019-01-06,內湖區,套房(1房1廳1衛),"行政區：內湖區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：10.00 年
建物坪數：12.97 坪
主建物坪數：5.75 坪
樓層：4 / 14
樓層比例：0.29
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPXNMLLMJHOFFAA87CA,2019-01-17,文山區,華廈(10層含以下有電梯),"行政區：文山區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：34.52 年
建物坪數：32.73 坪
主建物坪數：20.64 坪
樓層：4 / 7
樓層比例：0.57
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPPOMLOLJHOFFDA67CA,2019-01-01,南港區,住宅大樓(11層含以上有電梯),"行政區：南港區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：20.15 年
建物坪數：32.69 坪
主建物坪數：24.88 坪
樓層：13 / 18
樓層比例：0.72
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPWNMLLJKHOFFBA67CA,2019-01-09,大同區,住宅大樓(11層含以上有電梯),"行政區：大同區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：1.82 年
建物坪數：35.66 坪
主建物坪數：17.06 坪
樓層：4 / 13
樓層比例：0.31
格局：2 房 2 廳 1 衛
車位：有
車位面積：19.05
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPRPMLOLJHOFFEA08CA,2019-01-03,士林區,公寓(5樓含以下無電梯),"行政區：士林區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：39.09 年
建物坪數：9.27 坪
主建物坪數：8.36 坪
樓層：1 / 4
樓層比例：0.25
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
