fold_id,feature,feature_group,gain_importance,split_importance
7,comp_365d_median_distance,rule_based_comparable,723269.2238464355,659.0
7,comp_365d_median_price,rule_based_comparable,673171.4463119507,640.0
7,comp_365d_nearest_distance,rule_based_comparable,881244.0821685791,856.0
7,comp_365d_nearest_price,rule_based_comparable,1125674.4076004028,939.0
7,comp_365d_std_price,rule_based_comparable,1303699.009628296,1156.0
7,comp_365d_weighted_mean_price,rule_based_comparable,1129768.3368530273,523.0
7,comp_730d_count,rule_based_comparable,0.0,0.0
7,comp_730d_mean_price,rule_based_comparable,22535086.44923401,628.0
7,comp_730d_median_age_diff,rule_based_comparable,1348047.50881958,1175.0
7,comp_730d_median_area_diff_pct,rule_based_comparable,901460.49659729,972.0
7,comp_730d_median_days_diff,rule_based_comparable,794688.9945526123,922.0
7,comp_730d_median_distance,rule_based_comparable,876521.8095779419,751.0
7,comp_730d_median_price,rule_based_comparable,1070149.0755844116,687.0
7,comp_730d_nearest_distance,rule_based_comparable,927450.1538543701,803.0
7,comp_730d_nearest_price,rule_based_comparable,2200521.6742095947,1105.0
7,comp_730d_std_price,rule_based_comparable,1643046.4593200684,1314.0
7,comp_730d_weighted_mean_price,rule_based_comparable,148058647.8569641,882.0
7,district,location_time,630009.5022583008,473.0
7,district_count_180d,time_aware_market,897106.5532608032,935.0
7,district_median_price_180d,time_aware_market,1368467.3145446777,936.0
7,district_median_price_365d,time_aware_market,1394079.286994934,828.0
7,district_price_change_180_365,time_aware_market,770081.0757446289,935.0
7,district_type_count_180d,time_aware_market,942560.6258773804,927.0
7,district_type_median_price_180d,time_aware_market,807097.2771911621,729.0
7,district_type_median_price_365d,time_aware_market,1040969.4968032837,729.0
7,district_type_price_change_180_365,time_aware_market,957378.5403900146,1117.0
7,emb_1095d_count,embedding_reranker_comparable,0.0,0.0
7,emb_1095d_max_reranker_score,embedding_reranker_comparable,1385506.5550231934,988.0
7,emb_1095d_max_similarity,embedding_reranker_comparable,541047.6651382446,580.0
7,emb_1095d_mean_price,embedding_reranker_comparable,865417.2350921631,597.0
7,emb_1095d_mean_reranker_score,embedding_reranker_comparable,678209.1587982178,646.0
7,emb_1095d_mean_similarity,embedding_reranker_comparable,436617.55027770996,500.0
7,emb_1095d_median_age_diff,embedding_reranker_comparable,1005866.2440261841,862.0
7,emb_1095d_median_area_diff_pct,embedding_reranker_comparable,797934.538848877,882.0
7,emb_1095d_median_days_diff,embedding_reranker_comparable,889148.9540252686,885.0
7,emb_1095d_median_price,embedding_reranker_comparable,649030.3893966675,624.0
7,emb_1095d_median_similarity,embedding_reranker_comparable,476645.5991897583,536.0
7,emb_1095d_nearest_price,embedding_reranker_comparable,1684463.7104110718,1021.0
